"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2023","155.52","155.57","155.93","154.57","4.96M","0.12%"
"05/10/2023","157.14","156.27","158.04","156.07","5.99M","1.04%"
"06/10/2023","157.64","157.08","158.30","156.59","5.80M","0.32%"
"09/10/2023","158.54","157.18","158.88","157.09","4.41M","0.57%"
"10/10/2023","158.36","158.38","159.27","157.90","5.27M","-0.11%"
"11/10/2023","156.18","158.46","159.05","156.04","6.92M","-1.38%"
"12/10/2023","156.33","155.92","156.56","155.07","5.79M","0.10%"
"13/10/2023","156.85","156.73","157.36","156.05","5.36M","0.33%"
"16/10/2023","157.53","157.82","158.25","156.84","6.41M","0.43%"
"17/10/2023","156.09","155.98","158.95","154.61","12.24M","-0.91%"
"18/10/2023","152.73","155.41","155.95","152.05","9.10M","-2.15%"
"19/10/2023","152.32","151.67","153.11","150.15","7.73M","-0.27%"
"20/10/2023","153.00","152.74","153.87","152.33","7.21M","0.45%"
"23/10/2023","151.39","152.86","153.50","151.21","5.87M","-1.05%"
"24/10/2023","151.23","150.75","151.96","150.13","6.16M","-0.11%"
"25/10/2023","151.57","151.24","152.17","150.23","5.88M","0.22%"
"26/10/2023","149.00","151.97","151.97","148.88","7.61M","-1.70%"
"27/10/2023","145.60","148.49","148.66","144.95","11.39M","-2.28%"
"30/10/2023","147.03","146.09","147.24","146.00","8.21M","0.98%"
"31/10/2023","148.34","147.54","148.54","146.64","7.58M","0.89%"
"01/11/2023","148.69","149.19","149.76","148.46","5.73M","0.24%"
"02/11/2023","150.24","147.71","150.40","147.54","5.35M","1.04%"
"03/11/2023","151.34","151.21","152.27","150.15","4.93M","0.73%"
"06/11/2023","151.70","151.78","152.43","151.37","4.85M","0.24%"
"07/11/2023","150.90","151.93","152.25","150.68","4.84M","-0.53%"
"08/11/2023","150.35","151.35","151.83","150.34","5.46M","-0.36%"
"09/11/2023","147.42","150.50","150.50","147.26","6.97M","-1.95%"
"10/11/2023","147.25","148.25","148.50","145.64","6.93M","-0.12%"
"13/11/2023","147.63","147.25","147.90","146.65","5.89M","0.26%"
"14/11/2023","147.66","147.64","148.54","146.97","6.71M","0.02%"
"15/11/2023","148.80","147.35","149.42","147.27","6.73M","0.77%"
"16/11/2023","150.10","149.50","150.17","148.64","6.88M","0.87%"
